DateTime,RecordingTime,Values,PartTimes,
,9.391783,0.508146,1.712006,
,9.405883,1.479743,1.733106,
,9.419693,0.266471,1.754676,
,9.434307,1.583547,1.775457,
,9.448928,0.3577,1.794559,
,9.462907,0.843579,1.812268,
,9.476397,0.270744,1.828513,
,9.489288,0.122219,1.845297,
,9.50321,0.475307,1.86105,
,9.516929,1.079813,1.875342,
,9.530016,1.19282,1.889296,
,9.543493,0.831615,1.901758,
,9.556229,1.455866,1.913733,
,9.569216,1.011238,1.924957,
,9.582198,0.957353,1.935896,
,9.595788,0.351886,1.945695,
,9.608953,1.975298,1.954584,
,9.621942,0.959052,1.963437,
,9.636186,0.862214,1.971531,
,9.650785,0.904407,1.978075,
,9.664176,0.868271,1.984257,
,9.678802,-0.054933,1.989156,
,9.692595,1.33333,1.993292,
,9.70695,1.922654,1.996233,
,9.720194,1.017143,1.998322,
,9.733356,0.409394,1.999639,
,9.747519,0.848033,1.99999,
,9.761833,0.909852,1.999361,
,9.776053,0.867306,1.997746,
,9.790361,1.469842,1.995406,
,9.803453,0.920306,1.992087,
,9.817122,0.895589,1.987761,
,9.831121,-0.144979,1.982291,
,9.845635,1.280911,1.976063,
,9.85965,1.615238,1.968902,
,9.873677,1.801345,1.960783,
,9.887766,0.908368,1.951806,
,9.90176,1.626598,1.942062,
,9.915571,0.964086,1.930637,
,9.930394,0.851209,1.918857,
,9.944485,0.886223,1.906837,
,9.95788,1.085283,1.893848,
,9.971457,0.900273,1.880213,
,9.984884,0.050047,1.865981,
,9.998151,0.386305,1.849729,
,10.012518,1.882085,1.833751,
,10.025956,1.721338,1.816388,
,10.039903,0.627094,1.799055,
,10.05324,0.049634,1.780402,
,10.067025,0.84847,1.761206,
,10.080679,0.00242,1.741437,
,10.094245,0.767204,1.722037,
,10.107127,0.971689,1.700102,
,10.121238,0.531472,1.67938,
,10.134174,0.645952,1.65764,
,10.147378,0.900839,1.635716,
,10.160352,0.618771,1.612651,
,10.173667,0.047448,1.587824,
,10.187655,0.441277,1.562777,
,10.201444,0.339111,1.538623,
,10.214461,1.515218,1.512569,
,10.228225,0.901037,1.487055,
,10.241451,0.831732,1.460165,
,10.255145,0.901412,1.432767,
,10.268862,1.106322,1.404892,
,10.282598,0.94056,1.376254,
,10.296501,1.385017,1.349517,
,10.309308,1.269695,1.319236,
,10.323629,0.045615,1.289729,
,10.337417,1.289932,1.26023,
,10.351051,0.919916,1.227819,
,10.365878,0.899602,1.193558,
,10.381396,0.685723,1.162435,
,10.395373,-0.161337,1.130052,
,10.409811,0.28423,1.099585,
,10.423309,0.072035,1.069037,
,10.436773,0.816052,1.036007,
,10.451264,0.404809,1.004473,
,10.46505,0.898772,0.972194,
,10.47912,0.089418,0.939557,
,10.49332,0.242349,0.907894,
,10.507081,0.832399,0.875388,
,10.521205,0.936613,0.845039,
,10.534401,1.888567,0.812642,
,10.548507,1.268489,0.779162,
,10.56312,0.039984,0.746388,
,10.577473,0.011192,0.713333,
,10.59201,-0.082022,0.680482,
,10.606535,0.973882,0.648883,
,10.62059,0.8157,0.615734,
,10.63544,0.067018,0.583368,
,10.65006,0.258549,0.553672,
,10.663591,0.523187,0.523249,
,10.677588,0.848992,0.492455,
,10.69191,0.075643,0.462789,
,10.705871,0.798366,0.434447,
,10.719375,0.684328,0.405856,
,10.733181,0.242712,0.378947,
,10.746361,1.131624,0.351199,
,10.760159,-0.101979,0.325092,
,10.773355,1.04859,0.298906,
,10.786818,0.883303,0.272178,
,10.80082,0.745051,0.246772,
,10.8144,1.47226,0.220576,
,10.828706,0.352597,0.195748,
,10.842584,-0.159096,0.172344,
,10.855979,0.662017,0.148224,
,10.870141,-0.161931,0.124871,
,10.884236,0.72595,0.103616,
,10.897435,1.39393,0.0837,
,10.910158,0.999543,0.064147,
,10.923027,0.073316,0.044983,
,10.936044,0.731539,0.025047,
,10.950068,1.626052,0.007099,
,10.963173,1.075791,-0.010602,
,10.976605,0.827089,-0.02906,
,10.991234,0.400928,-0.04594,
,11.005259,0.439932,-0.061494,
,11.018826,0.905692,-0.076697,
,11.032793,0.705202,-0.091423,
,11.047119,-0.056936,-0.104767,
,11.060919,-0.132062,-0.116415,
,11.073741,0.023461,-0.128361,
,11.087819,0.825123,-0.139166,
,11.101566,0.118432,-0.148809,
,11.114878,0.364889,-0.157956,
,11.128693,1.604075,-0.166232,
,11.142529,0.856967,-0.173705,
,11.156549,1.944717,-0.179892,
,11.169735,0.905036,-0.185443,
,11.183418,1.635794,-0.189954,
,11.196617,1.396498,-0.193867,
,11.210767,0.780832,-0.196754,
,11.224534,0.682062,-0.198702,
,11.238044,0.721272,-0.199852,
,11.253407,0.981572,-0.199929,
,11.266711,0.625218,-0.199086,
,11.280751,0.250165,-0.197301,
,11.294747,1.092741,-0.194503,
,11.309063,0.634237,-0.190656,
,11.323601,1.128798,-0.185789,
,11.338171,1.317506,-0.180113,
,11.352281,1.487371,-0.173231,
,11.366918,0.911809,-0.165521,
,11.381243,1.90185,-0.156827,
,11.395609,1.783806,-0.146558,
,11.410853,0.694579,-0.136327,
,11.424675,0.931229,-0.124863,
,11.438936,1.260951,-0.11204,
,11.453691,0.869981,-0.09847,
,11.468223,1.422634,-0.084061,
,11.482673,1.380214,-0.069738,
,11.496217,0.747886,-0.054884,
,11.509543,1.253566,-0.038139,
,11.523829,0.849122,-0.019852,
,11.538671,0.324199,-0.001271,
,11.553066,0.864782,0.018284,
,11.567573,0.723269,0.038604,
,11.582048,1.04785,0.057837,
,11.595257,0.570339,0.079982,
,11.609947,1.173877,0.101239,
,11.623588,1.007344,0.123002,
,11.63714,0.071394,0.145509,
,11.650764,1.741475,0.170262,
,11.665336,0.902679,0.194117,
,11.679016,0.886715,0.223982,
,11.695695,0.927226,0.251265,
,11.710545,0.917824,0.276044,
